A13,A14,A15,A16,A17,A18,A19,A20,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A1,A2,A6,A3,A4,A5,A7,A9,A10,A11,A12,A32,A33,A34,A35,A8,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,Bankrupt?
234077,65399,112995,178394,55683,191423,0,112914,0,0,0,-485,-485,2,0,-483,0,-483,234077,1484,232593,0,0,0,0,16436,0,0,0,232,-228,0,0,55683,0.022691478,0.022691478,0,0,0.762116739,0.72060903,0.312134937,3.203742614,1.312134937,0,0.290889809,1,44.06940701,0,0,0,0,0,0,0,0,0.002058016,-0.002066538,-0.325471698,-0.029386712,0.008674102,1.004140787,0,0,0,0,2903,-0.480331263,0,0.098852965,4.186407593,0,0,-0.515484515,1.996961239,-0.005227214,-0.494337137,-0.517482517,-0.050880626,0,-0.050880626,0,0,0,1
165542,959992,25405,985397,-819855,-18329,-36287,401,0,0,0,-1266,-1266,-17848,-18303,-19114,0,-19114,165542,344,165198,1,0,0,0,0,0,0,9864,0,0,0,2762888,-819855,0.000358336,0.000358336,1.04E-06,-0.069168989,5.952549806,-4.79908422,-0.832004766,-1.201916192,0.167995234,0,15.01126044,1,2790.674419,0,0,0,0,0,0,0,0,0.117374698,-0.007774216,-55.56395349,0,0.023313879,0.066234174,0,0,0,0,87790,0,0,0,-3.048519829,0,0,-0.742465717,2.608637477,0.033668436,-0.765739615,-0.737646865,-0.982557659,0,-0.982557659,-0.006918123,-0.356530196,0.031774723,1
893775,143791,48294,192085,701690,842979,40329,1207,0,0,0,-7410,-7410,380,-2415,-7030,0,1105,893775,86487,807288,35,50725,0,3928,7517,0,0,652040,2957,-37710,34704,74061523,697762,0.601477144,0.601477144,0.000243409,-3.068322981,0.214914268,0.834724623,3.653018195,0.275287276,4.653018195,0.58650433,0.7899419,1.005629427,1.662573566,0,0,0,0,0,0,0,0.072289758,0.001178797,-0.007904873,0.012776487,0.147000133,0.001574769,-6.705882353,0,0,0,0,17660,2.6760181,0,0.315448159,1.208425921,0,0,-0.898794808,1.970741335,-0.08893109,-0.9868367,-1.012908728,-0.919726137,0,-0.919726137,1.49E-05,-0.001425815,0.00023845,1
21,27986,41350,69336,-69315,742187,0,41350,0,0,0,1466,1466,0,0,1466,0,1466,21,21,0,0,0,0,0,0,0,0,0,-3,0,0,744796,-69315,0.000750375,0.000750375,0,0,3301.714286,-1331.666667,-0.999697127,-1.000302965,0.000302873,0,-0.093392905,1,1332.666667,0,0,0,0,0,0,0,0,68.18604651,68.18604651,69.80952381,0,0.021149823,1,0,0,0,0,15987,-0.002046385,0,13.95348837,-0.000302965,0,0,-1.668185962,0.315377532,-0.045454545,-0.485955184,-1.668185962,-1.670018282,0,-1.670018282,0.001968324,-0.093065752,0.021464938,1
17411,437,93471,93908,-76497,44070,0,0,0,0,0,365,365,-2382,-2471,-2017,0,-2017,17411,272,17139,272,0,0,0,12757,-3079,0,0,-4384,0,4656,120679,-76497,0.622425629,0.622425629,0.622425629,0.147713476,5.393601746,0.974900925,-0.814595136,-1.227603697,0.185404864,0,-1.665940549,1,1.606617647,0,0,0,0,0,0,0,0,0.116370979,0.021058705,-7.415441176,-0.158109273,0.026367047,-0.180961824,0,0,0,0,3243,2.173525037,0,25.29352373,1.257744265,0,0,-0.204682779,2.0475672,0.009099339,-0.258672801,-0.211801485,-2.68202765,0,-2.68202765,-0.016713761,-0.775909645,0.026872944,1
1404690,1379943,1260694,2640637,-1235947,2919019,1,697427,0,-234,-234,-22138,-22372,-29087,-28035,-51459,0,-51459,1404690,71308,1333382,19365,0,0,0,20187,0,0,1193834,-19770,-35439,74493,18139687,-1235947,0.051674598,0.051674598,0.014033188,-0.798002497,1.879871715,0.01761741,-0.468048808,-2.136529317,0.531951192,0,-0.423411624,1,19.35186795,0,0,0,0,0.000169572,0.004384732,86.26923077,0,0.038456925,-0.016719297,-0.721644135,-2.549115768,0.04163528,0.434753882,0,0,0,0,85749,0.384189355,0,1.477474125,-2.614190154,0,0,-0.882043914,2.328964957,0.104751164,-0.88965678,-0.87935687,-0.945984316,-0.755485893,-0.945984316,-0.002836819,-0.141641308,0.004727149,1
86370,257738,43533,301271,-214901,22338,0,1211,8226,-9020,-794,-1993,-2787,-1247,-1248,-4034,165,-3869,86370,23054,63316,8,17667,1094,0,61493,0,0,0,-785,0,777,18122099,-214901,0.089447423,0.085202803,3.10E-05,-2.233173077,3.488144031,-1.984114855,-0.713314591,-1.401905994,0.286685409,0.766331222,-9.620422598,1,11.17975189,0.096523219,2.147702407,1.377833753,7.954144621,0.03499678,0.040739886,77.44710327,0.082209948,0.046353926,-0.033390642,-0.167823371,-0.06291773,0.018003639,0.720341173,1.096523219,147.0459519,24.22805738,15.17140773,7129,0.202894805,-0.095429127,0.940497086,-0.581732608,-0.258835586,-0.263236644,0.28548962,2.09587822,0.072080235,-0.294219848,-0.267234848,-0.212266817,-0.262766945,0.445275591,-0.000213496,-0.015352361,0.000393387,1
1736704,1677750,284740,1962490,-225786,303578,0,306899,63838,-46052,17786,-8896,8890,-29300,-29034,-20410,6872,-13538,1736704,55111,1681593,35042,16198,0,1305279,7929,0,0,0,53780,-23584,0,0,-1531065,0.03284816,0.03284816,0.020886306,0.30619274,1.130008338,-0.717638124,-0.115050777,-1.281780983,0.884949223,0.293915915,-5.043399061,0.147469898,30.44310573,0.278611485,0.253736019,0,0,0.027448666,0.418454734,0.445800067,0.071740498,0.007913141,0.005196323,-0.245649689,-1.707403203,0.059959431,-0.656670114,0.721388515,120.790125,13.93527366,45.48074814,101006,-3.972521791,0.842444939,3.143512633,17.65915988,-0.072976553,1.518757502,-0.2972394,2.035954312,0.030717898,-0.493685179,-0.372805189,-0.40768872,0.017913352,-0.21048321,0,0,0,1
15101332,2076463,15120544,17197007,-2095675,2624558,0,22970,280962,-306323,-25361,-78546,-103907,-131920,0,-235827,38140,-197687,15101332,772803,14328529,246616,226263,11018,13683376,9912,0,0,0,474782,-203781,-151642,3033541675,-15779051,0.372172776,0.366866638,0.118767346,0,1.138774182,-0.043605889,-0.121862775,-1.089863199,0.878137225,0.292782249,-6.012079367,0.132813754,2.686924093,0.090264876,0.80531531,0.434446591,29.60214534,0.147521531,0.040495605,0.390836323,0.107966646,0.013077407,-0.006873664,-0.255805166,-19.94420904,0.094330943,0.525613723,1.090264876,123.4077918,27.95609371,0,401229,-2.401685493,1.689844178,3.14078182,-16.35460439,2.728149115,-0.502284777,-0.043713444,1.995570394,-0.002028809,0.043698009,0.21971791,-2.071537589,-1.193393169,-0.043713444,-6.52E-05,-0.005414201,0.000132264,0
32055,467,577,1044,31011,27838,3173,160,2151,-10,2141,-24,2117,-1,-1,2116,0,2116,32055,6836,25219,64,21,6745,0,0,0,0,25219,-130,129,0,0,31011,14.63811563,0.194860814,0.137044968,2117,0.032569022,0.98543129,29.70402299,0.033665474,30.70402299,0.003071972,1,1,0.068314804,0.995351,0.009762901,3.150397011,0.001847746,0.021413276,0.372704326,0,0.000677179,0.079332646,0.079370138,0.309537741,0,0.068233853,1.00047259,0.004649,1.627150163,1.115760112,0.046490005,-12610,-0.061436673,-0.060437006,0.487393383,1.033177205,0.146050405,0.060705809,-0.873646209,3.563781567,0.505636449,3.315500071,-8.221843003,-14.06790123,-19.78070175,-0.767123288,0,0,0,0
208506,322832,0,322832,-114326,13354,10646,0,0,0,0,-200991,-200991,150269,-594,-50722,0,-50722,208506,208506,0,191216,17290,0,0,0,0,0,0,126881,0,-21,180000,-114326,0.645865342,0.645865342,0.592308074,-338.3686869,1.54831036,-0.54831036,-0.354134658,-2.823784616,0.645865342,0.082923273,-4.763583333,1,1.54831036,0,0,0,0,0,0,0,0.15123419,0.163195835,-0.646679826,-0.243263983,0,0.443661109,3.962600055,0,0,0,0,588257,-2.501498364,0,40.8234115,-0.46024948,0,0,-0.169389563,1.354245995,-0.495268734,3.766215386,-2.570097508,-0.169482701,0,-0.169482701,-0.281788889,-0.635144444,3.268094444,0
1123500,274356,576898,851254,272246,341897,6213,8840,41417,-25336,16081,-50869,-34788,-10466,-12715,-45254,15842,-29412,1123500,406360,717140,168517,44245,157223,20441,262460,0,0,62977,-76220,-13828,23561,0,251805,1.481141291,0.908079284,0.6142275,-2.735981125,0.757680463,0.737608367,0.319817587,3.38060801,1.319817587,0.108881288,0.723348941,1.081177896,0.675155035,0.388270517,1.068281141,9.776941732,0.159384505,0.092347169,0.034417002,16.32112431,0.162518458,0.025209663,-0.029817549,-0.072379171,-0.112062791,0.108034645,1.182782538,0.611729483,176.4444552,122.8215467,30.69995413,-35837,2.591459268,-1.84030712,6.532981399,5.368328461,1.059854283,-3.103305209,-0.513611973,1.943331542,-0.071403953,2.815077098,2.321138211,8.769165965,-0.79272521,-0.5460908,0,0,0,0
63252,390,12382,12772,50480,67425,18147,41,0,0,0,-1390,-1390,-321,-320,-1711,0,-1711,63252,296,62956,0,0,0,0,0,0,0,62931,-762,0,762,296079302,50480,0.758974359,0.758974359,0,-4.34375,0.201922469,0.993834187,3.952395866,0.253011094,4.952395866,0,0.589912588,1,1.317567568,0,0,0,0,0,0,0,0,0.028000524,-0.022747357,-5.780405405,0,0.033894612,0.812390415,0,0,0,0,-4282,0.445353594,0,1.247013387,1.542375526,0,0,5.951219512,2.059282079,0.072795115,15.07768653,16.28282828,346.5,0,346.5,-5.78E-06,-4.21E-05,-1.45E-05,0
111206663,16559136,92156089,108715225,2491438,9235546,6517223,4279004,6478231,-4091176,2387055,340632,2727687,-5947286,-6004664,-3219599,1162498,-2057101,111206663,16049612,95157051,495856,8566092,2497688,16839414,37060403,0,0,12461118,3424635,2220397,-5974902,724921241,-14347976,0.969230037,0.818395597,0.029944557,0.454261387,0.977596324,0.699671323,0.022917103,-7.577042574,1.022917103,0.5337258,-0.910822472,0.173643864,1.031746811,0.368473276,1.322288754,1.046347068,1.732764269,0.247064581,0.147190376,15.52557566,3.438211988,0.019300002,0.025591531,-0.128171385,-0.055506709,0.825668148,-1.325985938,0.631526724,132.6397592,5.258102096,92.68987166,18433307,-1.664786999,0.52863737,3.21303921,-52.68512015,-66.99603238,682.0287432,0.453521963,2.064225068,0.090642004,20.1826001,-3.936416919,1.617576046,0.386676248,-0.314815451,-0.002837689,-0.127828525,0.025428013,0
