Bankrupt?,"Operating revenue (Turnover)
th GBP Last avail. yr","Number of employees
Last avail. yr","Operating Profit
th GBP Last avail. yr","EBITDA
th GBP Last avail. yr","Cash In(Out)flow Operat. Activ.
th GBP Last avail. yr","Total Other Current Liabilities
th GBP Last avail. yr","Current Liabilities
th GBP Last avail. yr","Working Capital
th GBP Last avail. yr","Long Term Debt
th GBP Last avail. yr","Tangible Assets
th GBP Last avail. yr","Fixed Assets
th GBP Last avail. yr","Current Assets
th GBP Last avail. yr","Net Assets Turnover (x)
Last avail. yr","Fixed Assets Turnover (x)
Last avail. yr","Interest Cover (x)
Last avail. yr","Stock Turnover (x)
Last avail. yr","Debtors Turnover (x)
Last avail. yr","Debtor Collection
Last avail. yr","Creditors Payment
Last avail. yr","Return on Shareholders Funds
Last avail. yr","Return on Capital Employed
Last avail. yr","Return on Total Assets
Last avail. yr","Profit margin
Last avail. yr","Gross margin
Last avail. yr","EBIT margin
Last avail. yr","EBITDA margin
Last avail. yr","Current ratio (x)
Last avail. yr","Liquidity ratio (x)
Last avail. yr","Shareholders liquidity ratio (x)
Last avail. yr","Solvency ratio (Asset based)
Last avail. yr","Asset Cover (x)
Last avail. yr","Gearing
Last avail. yr","Profit per employee (unit)
GBP Last avail. yr","Turnover per employee (unit)
GBP Last avail. yr","Salaries/ Turnover
Last avail. yr","Average Remuneration per employee
GBP Last avail. yr","Shareholders Funds per employee
GBP Last avail. yr","Working Capital per employee
GBP Last avail. yr","Total Assets per employee
GBP Last avail. yr"
1,9584000,21263,97000,193000,23000,-2325000,-4222000,-1406000,-1210000,718000,4456000,2113000,4.083510865,2.150807899,0.658064516,217.8181818,41.85152838,8.721306344,63.94355175,-18.21305842,-2.25820196,-0.806819912,-0.553005008,20.16903172,1.012103506,2.013772955,0.500473709,0.490052108,0.141536965,4.429898006,5.42892562,781.443299,-2492.592767,450736.0203,11.17487479,50369.18591,13685.74519,-66124.2534,308940.4129
1,4394900,31628,181900,226900,114600,-1259100,-2217400,173600,-592000,144100,2157500,2269800,1.988732522,2.037033604,3.428807947,55.77284264,5.207227488,70.09488271,62.22166602,20.09864365,6.638309426,3.313531949,3.337959908,7.979703748,4.138888257,5.162802339,1.02363128,0.988094164,0.493175676,16.48634608,7.478547297,231.4152624,4638.295181,138955.9884,21.27010854,29556.08954,23077.65271,5488.807386,139980.3971
1,2969600,29312,33400,78400,40100,-260200,-800600,338500,-36100,298400,438600,882000,5.710769231,6.770633835,1.455252918,7.59488491,8.555459522,42.66281654,49.11570582,3.707224335,2.25,0.885960927,0.393992457,24.38375539,1.124730603,2.640086207,1.101673745,0.613290032,1.544031311,23.89822808,36.58171745,109.3789607,399.1539301,101310.0437,10.41217672,10548.58079,10766.9214,11548.1714,45053.22052
1,2904000,41423,-5900,21500,-60200,-590300,-775100,247700,-827700,209900,799800,873800,3.232053422,3.630907727,-0.022038567,81.11731844,7.32408575,49.83557163,23.20213499,,-12.38731219,-6.650334608,-3.832644628,9.962121212,-0.203168044,0.740358127,1.127338408,1.081150819,-0.001222766,-0.065726577,2.021988643,,-2686.913068,70105.97977,37.66184573,26403.20595,,5979.769693,40402.67484
1,2277000,25663,-481300,-8000,127300,-208400,-807000,-12800,-198400,603700,1439800,528100,1.961409251,1.581469649,-38.32,5.75,94.09090909,3.879227053,69.4093105,-100.4290969,-42.33784133,-24.9758626,-21.58541941,10.19762846,-21.13746157,-0.351339482,0.654399009,0.163692689,0.728816083,24.86914986,9.918850806,171.046179,-19152.08666,88726.96099,17.22441809,15282.70272,19070.25679,-498.7725519,76682.3832
1,1818817,21616,-137563,-6954,2186,-193297,-453516,49982,-54511,465398,694177,2996453,0.561863747,2.620105535,-22.16588148,9.736864082,27.67566457,13.18848185,40.64450134,-3.438526602,-2.886151059,-2.531491913,-5.136745478,-4.121690088,-7.563322753,-0.382336431,6.607160497,6.195274257,5.224979808,73.62141423,67.70431656,21.26187022,-4322.168764,84142.16321,20.35575872,17127.77572,125698.2791,2312.26869,170736.0289
1,1625034,10218,28475,58314,125738,-103185,-320069,-39434,-15559,109122,322644,349696,4.613022361,5.036616209,5.02175805,10.8397025,139.3682676,2.618960588,45.1487692,7.065878885,6.558870869,3.43650534,1.421816405,26.30074202,1.752271029,3.588478764,1.092564416,0.624181036,12.93642442,48.63521433,43.21228871,12.5849404,2261.205715,159036.4063,9.633029217,15320.02349,32001.7616,-3859.267959,65799.56939
1,1609900,12931,-1517500,232200,507900,-462300,-696400,411500,-2165200,86500,2691200,744600,0.587683434,0.598208977,-7.884639498,137.5982906,3.468864469,105.2217529,14.57823467,-476.1760753,-51.73030591,-41.24512486,-88.02410088,42.78526617,-94.26051308,14.4232561,1.069213096,1.052412407,0.121877304,8.661738169,1.586828007,877.5537634,-109589.3589,124499.2653,41.41251009,51558.27082,23014.46137,31822.75153,265702.5752
1,1560081,2640,27912,45761,68810,-68080,-328550,42204,-81519,17610,320095,325319,4.923503459,4.873806214,5.075108853,16.62490409,8.470276844,43.0918619,55.17273462,10.40692745,7.088845688,3.480246787,1.439797036,13.27296467,1.789137872,2.933245133,0.99016588,0.704547253,2.136428875,33.44163591,7.917344423,58.22819998,8508.333333,590939.7727,5.59932465,33088.63636,81756.43939,15986.36364,244475
1,877000,1346,47000,159000,23000,-475000,-835000,16000,-317000,1712000,2055000,578000,0.487764182,0.42676399,0.611111111,54.8125,13.08955224,27.88483466,27.88483466,-4.623513871,-1.946607341,-1.329282188,-3.990877993,13.45496009,5.359179019,18.1299886,0.692215569,0.673053892,0.727884615,28.75047474,8.305993691,175.9577279,-26002.97177,651560.1783,3.510034208,22869.98514,,11887.07281,1956166.419
