Bankrupt?,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth
0,1.58,1.45,-0.16,0.17,0.15,0.44,1.88,0.08,0.08,267.19,0.034509304,0.070312746,0.04798629
0,1.51,1.45,0.23,0.17,0.06,0.41,3.75,0.02,0.04,787.56,0.155604125,0.190335634,0.043478261
0,1.51,1.45,0.32,0.17,0.1,0.88,0.96,0.1,0.06,317.22,0.17010683,-0.009047046,0.040585726
0,0.88,1.45,0.04,0.17,0.03,1.93,0.81,0.04,0.08,22.6,-0.087399178,0.01548355,0.119499983
0,2.85,1.44,0.13,0.17,0.2,0.01,1.07,0.18,0.04,127.93,0.122424192,0.115071323,-0.055555556
0,1.83,1.44,0.07,0.17,0.13,0.36,0.79,0.17,0.07,564.69,0.055204546,0.07252807,0.126076742
0,2.61,1.43,-0.01,0.17,0.15,1.07,1.49,0.1,0.04,452.02,0.002283018,0.04449501,0.013333333
0,1.37,1.43,-0.02,0.17,0.07,0.86,0.29,0.26,0.04,95.59,0.392204746,-0.116966126,0.190243902
0,1.28,1.43,0.25,0.17,0.12,1.67,1.11,0.11,0.08,33.33,0.065757817,0.466669692,0
0,1.22,1.43,0.43,0.17,0.12,0.75,1.29,0.09,0.12,9.14,0.536326694,0.135390871,0.061965812
0,0.97,1.43,0.37,0.17,0.09,2.58,5.39,0.02,0.27,2.39,0.064252285,0.188893689,-0.007866273
0,2.08,1.42,-0.07,0.17,0.17,1.29,0.65,0.25,0.07,10964.93,0.127501243,0.179283993,-0.014443344
0,1.43,1.42,0.01,0.17,0.06,0.95,0.33,0.19,0.04,44.16,0.079971593,0.138704858,0.029520295
0,1.17,1.42,0.19,0.17,0.08,0.52,0.69,0.12,0.06,30.6,-0.06449636,0.022237511,-0.027768703
0,2.4,1.41,-0.03,0.17,0.13,0.74,0.49,0.27,0.05,296.46,0.129778812,0.051506426,0.315789474
0,1.18,1.41,-0.18,0.17,0.07,0.97,0.96,0.07,0.08,14.95,-0.001263527,0.002410269,0.042524917
0,1.63,1.39,-0.03,0.17,0.15,1.17,0.66,0.23,0.09,7393.96,0.221460355,0.27450532,-0.141520748
0,1.29,1.39,0.38,0.17,0.1,1.35,3.92,0.03,0.08,70.4,0.058315065,0.037952091,0.010554988
0,1.18,1.39,0.06,0.17,0.09,1.25,0.78,0.11,0.11,197.64,0.098728245,0.198551493,0.088877156
0,2.2,1.38,0.19,0.17,0.15,0.26,1.07,0.14,0.07,1409.64,0.054432437,0.028766759,0
0,1.98,1.38,0.14,0.17,0.07,0.5,0.67,0.11,0.06,193.18,-0.004490026,0.251765937,-0.109071562
0,2.48,1.36,0.16,0.17,0.34,0.05,2.47,0.14,0.09,79.75,0.543494551,0.484909443,0.56027027
0,1.12,1.36,-0.07,0.17,0.07,1.36,0.23,0.29,0.08,380.54,0.02834212,0.059479994,0.257057546
0,1.71,1.35,0.34,0.17,0.1,0.48,1.93,0.05,0.04,104.9,0.022395113,0.04200945,-0.038461538
0,1.21,1.35,0.14,0.17,0.13,0.29,1.48,0.09,0.09,11.67,0.360031275,0.253098915,0.304347826
0,1.17,1.35,0.45,0.17,0.1,0.92,1.8,0.06,0.07,22.94,0.303599242,0.40335227,0.185316456
0,2.99,1.34,0.4,0.17,0.18,0.02,1.18,0.15,0.07,57.98,0.386746221,0.08091991,0.119047619
0,1.04,1.34,0.03,0.17,0.05,2.4,0.22,0.23,0.04,140.74,0.077223133,-0.092885375,-0.142857143
0,2.05,1.33,0.18,0.17,0.13,0.4,0.78,0.16,0.04,167.57,0.092441976,0.222301136,0
0,0.94,1.33,-0.02,0.17,0.05,1.5,0.3,0.17,0.08,158.7,0.324497459,0.097494422,-0.064885496
0,1.75,1.32,-0.04,0.17,0.17,1.39,0.64,0.26,0.1,8484.22,-0.112263162,-0.134565002,-0.077599102
0,1.56,1.32,-0.03,0.17,0.05,1.02,0.13,0.4,0.04,510.97,0.072800946,0.006965085,-0.040816327
0,1.55,1.32,0.1,0.17,0.08,0.33,0.71,0.11,0.05,991.77,-0.065257712,-0.078113835,0.044377682
0,1.07,1.32,0.04,0.17,0.06,2.74,0.93,0.06,0.1,8.58,0.868202199,-0.000805153,0.531456954
0,1.05,1.32,0.23,0.17,0.09,1.54,0.66,0.14,0.06,198.89,0.199183414,0.199779409,0.133333333
0,2.37,1.31,0.07,0.17,0.11,1.69,0.81,0.13,0.03,1726.45,0.089341575,0.032949188,-0.011494253
0,1.46,1.31,-0.02,0.17,0.12,1.13,0.28,0.44,0.06,78.75,0.237227908,0.11290844,0.058823529
0,1.32,1.31,0.24,0.17,0.12,0.66,1.85,0.07,0.08,25.99,0.039918224,-0.067716754,-0.019426457
0,1.45,1.3,0.31,0.17,0.17,0.27,1.73,0.1,0.09,13.72,-0.028726595,-0.032275462,-0.042538825
0,1.09,1.3,0.13,0.17,0.09,1.34,1.39,0.06,0.12,18.06,0.086056867,0.058520858,0.047619048
0,1,1.29,0.06,0.17,0.06,1.56,0.53,0.12,0.08,61.27,0.258208679,0.270031213,-0.023666804
0,0.92,1.29,0.19,0.17,0.05,0.94,1.56,0.03,0.07,197.12,-0.1163381,0.036010198,0.110687023
0,0.79,1.29,0.06,0.17,0.06,0.57,0.23,0.26,0.16,105.34,0.002027463,-0.190497381,0.070526316
0,1.59,1.28,0.2,0.17,0.1,0.97,4.28,0.02,0.05,16.36,0.565823871,0.402837685,0.297709924
0,1.99,1.27,0.27,0.17,0.11,0.86,2.99,0.04,0.05,59.21,0.630544305,0.513015468,0.485507246
0,1.96,1.26,0.39,0.17,0.17,0.36,2.4,0.07,0.08,93.93,0.329821618,0.270037291,0.170731707
